[0.000000] (-) TimerEvent: {}
[0.000111] (scv_robot_gazebo) JobQueued: {'identifier': 'scv_robot_gazebo', 'dependencies': OrderedDict()}
[0.109467] (scv_robot_gazebo) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.109658] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//launch\n'}
[0.110216] (scv_robot_gazebo) StdoutLine: {'line': b'-- Installing: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//launch/hunter_test.launch.py\n'}
[0.110802] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//urdf\n'}
[0.111239] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//urdf/hunter_with_one_box.urdf.xacro\n'}
[0.111489] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//urdf/velodyne_vlp32c.urdf.xacro\n'}
[0.111646] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes\n'}
[0.111882] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/GNSS_antenna.stl\n'}
[0.111977] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/front_steer_right_link.STL\n'}
[0.112516] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/rear_wheel_link.STL\n'}
[0.112700] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/right_rear_link.STL\n'}
[0.112871] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/VLP-32C.stl\n'}
[0.113182] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/front_box.dae\n'}
[0.113353] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/left_rear_link.STL\n'}
[0.113576] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/front_box.STL\n'}
[0.113659] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/back_box.stl\n'}
[0.113896] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/front_steer_link.STL\n'}
[0.114067] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/front_steer_left_link.STL\n'}
[0.114402] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/front_left_wheel_link.STL\n'}
[0.114641] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/back_box.dae\n'}
[0.114910] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/base_link.STL\n'}
[0.114995] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//meshes/front_right_wheel_link.STL\n'}
[0.115131] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//config\n'}
[0.115501] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots\n'}
[0.115727] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot\n'}
[0.115976] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/README.md\n'}
[0.116131] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/LICENSE\n'}
[0.116305] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/.git\n'}
[0.116394] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description\n'}
[0.116509] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/CMakeLists.txt\n'}
[0.116614] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/launch\n'}
[0.116710] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/launch/robot_view.launch.py\n'}
[0.116804] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/meshes\n'}
[0.116897] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/meshes/front_left_wheel.dae\n'}
[0.117005] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/meshes/rear_right_wheel.dae\n'}
[0.117102] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/meshes/rear_left_wheel.dae\n'}
[0.117217] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/meshes/chassis.dae\n'}
[0.117312] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/meshes/front_right_wheel.dae\n'}
[0.117402] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/config\n'}
[0.117494] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/config/ackermann_like_controller.yaml\n'}
[0.117788] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/CHANGELOG.rst\n'}
[0.117894] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/description\n'}
[0.117994] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/description/robot_core.xacro\n'}
[0.118093] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/description/robot_core_real_hack.xacro\n'}
[0.118267] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/description/robot.urdf.xacro\n'}
[0.118375] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/description/meshes.xacro\n'}
[0.118496] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/description/inertial_macros.xacro\n'}
[0.118609] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/description/ros2_control.xacro\n'}
[0.118708] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/package.xml\n'}
[0.118794] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/rviz\n'}
[0.118879] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_description/rviz/robot_view.rviz\n'}
[0.118964] (scv_robot_gazebo) StdoutLine: {'line': b'-- Up-to-date: /home/d2-521-30/hunter_gazebo_ws/src/scv_robot_gazebo/install/scv_robot_gazebo/share/scv_robot_gazebo//robots/hunter_robot/hunter_gazebo\n'}
